"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.344832139731524,0.426568754200773,0.602898665734461,0.686528817360375,0.733735027427052,0.528652654729476,0.383583565193292,0.62089613736627
"CanE",0.344832139731524,0,0.382437082877064,0.460898571840556,0.427782895148321,0.580126460383019,0.303979911944926,0.501724522595905,0.329167878246668
"HKE",0.426568754200773,0.382437082877064,0,0.449735151175437,0.464369632131492,0.604839646732695,0.372580705880595,0.648557641782669,0.454315842444694
"IndE",0.602898665734461,0.460898571840556,0.449735151175437,0,0.408442624874535,0.647908557323124,0.419757776630946,0.725119248761116,0.382013465100752
"IrE",0.686528817360375,0.427782895148321,0.464369632131492,0.408442624874535,0,0.561019234873384,0.309669998387239,0.780852081334797,0.281589907164792
"JamE",0.733735027427052,0.580126460383019,0.604839646732695,0.647908557323124,0.561019234873384,0,0.577525110557172,1.00051621510002,0.604712699186175
"NZE",0.528652654729476,0.303979911944926,0.372580705880595,0.419757776630946,0.309669998387239,0.577525110557172,0,0.630253816413464,0.299117486260804
"PhlE",0.383583565193292,0.501724522595905,0.648557641782669,0.725119248761116,0.780852081334797,1.00051621510002,0.630253816413464,0,0.715369565034564
"SgE",0.62089613736627,0.329167878246668,0.454315842444694,0.382013465100752,0.281589907164792,0.604712699186175,0.299117486260804,0.715369565034564,0
