"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"(Intercept)",-1.98313236678101,-0.660049161982454,-1.65182585621909,-0.634017762221643,-1.37281012257619,-1.32836374861716,-1.27075168752038,-0.871240604770387,-0.89180905358842
"POR_ANIMACY_2",2.08034167819734,2.20082476860935,2.51171064487037,0.983851813775538,1.12853317115769,2.37589657130325,2.19410593747935,1.18973203853623,2.01163801567271
"POR_LENGTH_WORDS",-6.8750574793902,-5.35684177252797,-4.82542710180545,-3.78946677958798,-3.31521360844492,-3.36021616221006,-4.23358116739994,-7.64857563836502,-3.68579212419575
"PUM_LENGTH_WORDS",3.20138428329378,2.8842797003351,2.68806807940466,2.2168409243114,2.73642637605059,5.21606413404791,2.92301313830798,2.47465533020707,2.28301381972032
"POR_NP_EXPR_TYPE_binary",1.39484088867607,1.00730182878518,1.05918591611487,1.34728200732106,0.876124141703962,0.874230972082372,1.61157710865654,1.12544933160574,0.407413853378893
"POR_FINAL_SIBILANCY",-1.26611514457977,-1.77550239963415,-0.655654378192826,-0.428358665078334,-1.47465356895301,-1.50245580704934,-0.902202390358741,-0.898362600264602,-1.60032982414731
"PREVIOUS_CHOICEnone",0.804854236463479,0.250942432483443,1.25690910427109,0.725301703788463,0.228408804957211,-0.307974068259508,0.182853491610008,0.982092431793558,0.213372469003406
"PREVIOUS_CHOICEs",1.55630373358976,0.775377393262837,0.921750245823489,1.58533733604642,0.123062463927824,0.934294872935103,0.562485096760429,0.942723347750395,1.0367965773711
"SEM_REL_2",-0.283400233842883,0.0502066183015216,-0.359244320949267,-0.614280544672852,0.394225011558936,-1.24196002335159,0.893481378374527,1.1676526457213,0.550160235814363
"POR_HEAD_FREQ",0.498620484682722,-0.151811122158688,1.39413397596903,-0.257876788433477,0.620154658868092,0.597655092929657,0.265805260920944,-0.311314906445151,-0.177856750386745
