"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.238095238095238,0.238095238095238,0.19047619047619,0.214285714285714,0.238095238095238,0.142857142857143,0.142857142857143,0.452380952380952
"CanE",0.238095238095238,0,0.142857142857143,0.595238095238095,0.476190476190476,0.142857142857143,0.238095238095238,0.238095238095238,0.166666666666667
"HKE",0.238095238095238,0.142857142857143,0,0.523809523809524,0.476190476190476,0.238095238095238,0.119047619047619,0.166666666666667,0.404761904761905
"IndE",0.19047619047619,0.595238095238095,0.523809523809524,0,0.380952380952381,0.595238095238095,0.476190476190476,0.19047619047619,0.714285714285714
"IrE",0.214285714285714,0.476190476190476,0.476190476190476,0.380952380952381,0,0.19047619047619,0.214285714285714,0.285714285714286,0.452380952380952
"JamE",0.238095238095238,0.142857142857143,0.238095238095238,0.595238095238095,0.19047619047619,0,0.166666666666667,0.261904761904762,0.238095238095238
"NZE",0.142857142857143,0.238095238095238,0.119047619047619,0.476190476190476,0.214285714285714,0.166666666666667,0,0.238095238095238,0.380952380952381
"PhlE",0.142857142857143,0.238095238095238,0.166666666666667,0.19047619047619,0.285714285714286,0.261904761904762,0.238095238095238,0,0.404761904761905
"SgE",0.452380952380952,0.166666666666667,0.404761904761905,0.714285714285714,0.452380952380952,0.238095238095238,0.380952380952381,0.404761904761905,0
