"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0,0.333333333333333,0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111,0.222222222222222,0.111111111111111
"CanE",0,0,0.333333333333333,0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111,0.222222222222222,0.111111111111111
"HKE",0.333333333333333,0.333333333333333,0,0.222222222222222,0.333333333333333,0.222222222222222,0.444444444444444,0.333333333333333,0.444444444444444
"IndE",0.111111111111111,0.111111111111111,0.222222222222222,0,0.333333333333333,0.222222222222222,0.222222222222222,0.333333333333333,0.222222222222222
"IrE",0.222222222222222,0.222222222222222,0.333333333333333,0.333333333333333,0,0.111111111111111,0.333333333333333,0.444444444444444,0.333333333333333
"JamE",0.111111111111111,0.111111111111111,0.222222222222222,0.222222222222222,0.111111111111111,0,0.222222222222222,0.333333333333333,0.222222222222222
"NZE",0.111111111111111,0.111111111111111,0.444444444444444,0.222222222222222,0.333333333333333,0.222222222222222,0,0.111111111111111,0.222222222222222
"PhlE",0.222222222222222,0.222222222222222,0.333333333333333,0.333333333333333,0.444444444444444,0.333333333333333,0.111111111111111,0,0.333333333333333
"SgE",0.111111111111111,0.111111111111111,0.444444444444444,0.222222222222222,0.333333333333333,0.222222222222222,0.222222222222222,0.333333333333333,0
