"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"POR_ANIMACY_2",0.0454309100757776,0.0822672359936665,0.0952867599552529,0.00438809533329476,0.0304461716798978,0.0770258513279082,0.0629084384972002,0.0216828629637184,0.0806950057219116
"POR_LENGTH_WORDS",0.0468952749583601,0.0775209135638293,0.0555125388172955,0.0523799360282918,0.0423450162626239,0.0350267055434744,0.0600313821987365,0.106805689086431,0.112196169381295
"PUM_LENGTH_WORDS",0.0511861635550562,0.0623273026240237,0.051755494468232,0.0460269223679283,0.0597260518201566,0.100966534458738,0.0610530311095043,0.0485724694494225,0.034434999547507
"POR_NP_EXPR_TYPE_binary",0.0738481850172144,0.0450579671068113,0.0736481426345538,0.1049238081048,0.0490123861956055,0.0292565066423414,0.0844483031199805,0.055666039867913,0.0328037457808371
"POR_FINAL_SIBILANCY",0.0110322135666173,0.00870679056061461,0.00460899351396728,0.0066864714218187,0.0416887032025993,0.021868530633679,0.0174655666148628,0.00669640448425461,0.035701616019862
"PREVIOUS_CHOICE",0.0176977368690147,0.0110518024952342,0.00889697077906918,0.0285585743723093,-0.0031607584655712,0.00287122119492278,0.0119118877715365,0.00732858237601283,0.0129526446642542
"SEM_REL_2",-2.09280679115145e-05,0.000199533291091211,3.92461029629172e-05,0.000709539823421344,0.000305773709478758,-0.000198728481687693,0.00310148531211464,0.00500692085735697,0.000355330816394069
"POR_HEAD_FREQ",0.00879631376994395,0.00868636025903402,0.0439655436083779,0.0146796970839485,0.0206314525819064,0.00892447655526676,0.0136814327773047,0.0113112246212886,0.0073597906605673
