"","line1","line2","line3","mean"
"BrE",0.847222222222222,0.459038029782097,0.767857142857143,0.691372464953821
"CanE",0.847222222222222,0.583631317154002,0.720238095238095,0.71703054487144
"HKE",0.666666666666667,0.524574442846823,0.711309523809524,0.634183544441004
"IndE",0.777777777777778,0.487903242319884,0.541666666666667,0.602449228921443
"IrE",0.708333333333333,0.509968101090633,0.663690476190476,0.627330636871481
"JamE",0.805555555555556,0.33620213105217,0.741071428571429,0.627609705059718
"NZE",0.777777777777778,0.569807817399422,0.752976190476191,0.700187261884464
"PhlE",0.708333333333333,0.326752917973021,0.758928571428572,0.598004940911642
"SgE",0.75,0.53910212739941,0.598214285714286,0.629105471037899
"mean",0.765432098765432,0.481886680779718,0.69510582010582,0.647474866550323
