"","line1","line2","line3","mean"
"BrE",0.708333333333333,0.759774302156308,0.690476190476191,0.719527941988611
"CanE",0.625,0.798736776013292,0.706349206349207,0.710028660787499
"IrE",0.625,0.776068520667338,0.674603174603175,0.691890565090171
"NZE",0.791666666666667,0.838512580695389,0.642857142857143,0.757678796739733
"mean",0.6875,0.793273044883082,0.678571428571429,0.719781491151503
