"","BrE","CanE","IrE","NZE"
"BrE",0,0.232543369721297,0.300660247358269,0.187473476451511
"CanE",0.232543369721297,0,0.22269585570811,0.148550446530717
"IrE",0.300660247358269,0.22269585570811,0,0.148438334931607
"NZE",0.187473476451511,0.148550446530717,0.148438334931607,0
