"","BrE","CanE","IrE","NZE"
"logWeightRatio",0.130352727757923,0.119719596419454,0.0955087915665736,0.0988533704441151
"RecPron",0.0382192112473214,0.050985084957892,0.0451255645472844,0.0535353232405235
"ThemeBinComplexity",0.0166861902305586,0.00785811573835608,0.0116184969459758,0.0179053430180472
"ThemeHeadFreq",0.0105965858867947,0.0153032877848194,0.0133252272401102,0.0125152347397715
"ThemePron",0.0101472360430232,0.00735066391667173,0.0120633142917586,0.00828237470861262
"ThemeDefiniteness",0.00638077104886553,0.00909507152018594,0.00495843513383988,0.00983522027134157
"RecGivenness",0.00907624339583664,0.00996648529310661,0.013894983790564,0.01052860373569
"RecHeadFreq",0.0103402130894923,0.0156265252554806,0.0147273247634413,0.00920744617454779
