"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.38694655872868,0.297899212470747,0.402633601672895,0.237266995034532,1.05786875497999,0.250252398552055,0.275978216602979,0.269814794874122
"CanE",0.38694655872868,0,0.3109655885226,0.461039538520355,0.399379082824769,1.00679314536664,0.465951203887542,0.423216574846449,0.456716229489446
"HKE",0.297899212470747,0.3109655885226,0,0.446525645315808,0.393910623202934,0.89015809654774,0.266552182534775,0.436740274275019,0.439246465009955
"IndE",0.402633601672895,0.461039538520355,0.446525645315808,0,0.432096601957233,1.15926402403586,0.420899099831051,0.298701988505773,0.309631771552427
"IrE",0.237266995034532,0.399379082824769,0.393910623202934,0.432096601957233,0,1.07995976449733,0.349912992092543,0.251226717156386,0.340221500656485
"JamE",1.05786875497999,1.00679314536664,0.89015809654774,1.15926402403586,1.07995976449733,0,0.987396451115994,1.16193284632839,1.12293998820097
"NZE",0.250252398552055,0.465951203887542,0.266552182534775,0.420899099831051,0.349912992092543,0.987396451115994,0,0.325100504236377,0.351094854689291
"PhlE",0.275978216602979,0.423216574846449,0.436740274275019,0.298701988505773,0.251226717156386,1.16193284632839,0.325100504236377,0,0.263287230497609
"SgE",0.269814794874122,0.456716229489446,0.439246465009955,0.309631771552427,0.340221500656485,1.12293998820097,0.351094854689291,0.263287230497609,0
