"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.309523809523809,0.928571428571429,0.738095238095238,0.333333333333333,0.404761904761905,0.166666666666667,0.476190476190476,0.261904761904762
"CanE",0.309523809523809,0,0.428571428571428,0.404761904761905,0.333333333333333,0.309523809523809,0.095238095238095,0.0714285714285713,0.523809523809524
"HKE",0.928571428571429,0.428571428571428,0,0.166666666666667,0.428571428571428,0.452380952380952,0.642857142857143,0.261904761904762,0.69047619047619
"IndE",0.738095238095238,0.404761904761905,0.166666666666667,0,0.261904761904762,0.238095238095238,0.642857142857143,0.19047619047619,0.5
"IrE",0.333333333333333,0.333333333333333,0.428571428571428,0.261904761904762,0,0.452380952380952,0.428571428571428,0.261904761904762,0.452380952380952
"JamE",0.404761904761905,0.309523809523809,0.452380952380952,0.238095238095238,0.452380952380952,0,0.380952380952381,0.238095238095238,0.19047619047619
"NZE",0.166666666666667,0.095238095238095,0.642857142857143,0.642857142857143,0.428571428571428,0.380952380952381,0,0.261904761904762,0.357142857142857
"PhlE",0.476190476190476,0.0714285714285713,0.261904761904762,0.19047619047619,0.261904761904762,0.238095238095238,0.261904761904762,0,0.523809523809524
"SgE",0.261904761904762,0.523809523809524,0.69047619047619,0.5,0.452380952380952,0.19047619047619,0.357142857142857,0.523809523809524,0
