"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.52936011650162,0.958603764336952,0.38738087901503,0.596808122097905,0.616469109604681,0.444934698540689,0.485003704572812,0.520719559979044
"CanE",0.52936011650162,0,0.754829947740543,0.704912544484009,0.394479559507436,0.453568369868019,0.520240158170418,0.428860148109623,0.395582894760513
"HKE",0.958603764336952,0.754829947740543,0,0.962810689130499,0.672585853456735,0.683909012422845,0.959422409363649,0.889620509776488,0.652299639773204
"IndE",0.38738087901503,0.704912544484009,0.962810689130499,0,0.737977099124155,0.766163170784277,0.681641271493545,0.811816527065062,0.560651773346161
"IrE",0.596808122097905,0.394479559507436,0.672585853456735,0.737977099124155,0,0.422303111073839,0.454929631997834,0.514222451891206,0.374908230769375
"JamE",0.616469109604681,0.453568369868019,0.683909012422845,0.766163170784277,0.422303111073839,0,0.498570939586153,0.576648956419006,0.427554055766249
"NZE",0.444934698540689,0.520240158170418,0.959422409363649,0.681641271493545,0.454929631997834,0.498570939586153,0,0.496794329465079,0.545846551692611
"PhlE",0.485003704572812,0.428860148109623,0.889620509776488,0.811816527065062,0.514222451891206,0.576648956419006,0.496794329465079,0,0.576689039805059
"SgE",0.520719559979044,0.395582894760513,0.652299639773204,0.560651773346161,0.374908230769375,0.427554055766249,0.545846551692611,0.576689039805059,0
