"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.222222222222222,0.222222222222222,0.333333333333333,0.333333333333333,0.333333333333333,0.444444444444444,0.111111111111111,0.222222222222222
"CanE",0.222222222222222,0,0.222222222222222,0.333333333333333,0.333333333333333,0.333333333333333,0.444444444444444,0.333333333333333,0.222222222222222
"HKE",0.222222222222222,0.222222222222222,0,0.333333333333333,0.111111111111111,0.111111111111111,0.222222222222222,0.111111111111111,0.222222222222222
"IndE",0.333333333333333,0.333333333333333,0.333333333333333,0,0.444444444444444,0.444444444444444,0.555555555555556,0.444444444444444,0.111111111111111
"IrE",0.333333333333333,0.333333333333333,0.111111111111111,0.444444444444444,0,0.222222222222222,0.111111111111111,0.222222222222222,0.333333333333333
"JamE",0.333333333333333,0.333333333333333,0.111111111111111,0.444444444444444,0.222222222222222,0,0.111111111111111,0.222222222222222,0.333333333333333
"NZE",0.444444444444444,0.444444444444444,0.222222222222222,0.555555555555556,0.111111111111111,0.111111111111111,0,0.333333333333333,0.444444444444444
"PhlE",0.111111111111111,0.333333333333333,0.111111111111111,0.444444444444444,0.222222222222222,0.222222222222222,0.333333333333333,0,0.333333333333333
"SgE",0.222222222222222,0.222222222222222,0.222222222222222,0.111111111111111,0.333333333333333,0.333333333333333,0.444444444444444,0.333333333333333,0
