"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.095238095238095,1.14285714285714,0.380952380952381,0.428571428571428,0.357142857142857,0.380952380952381,0.357142857142857,0.309523809523809
"CanE",0.095238095238095,0,0.928571428571429,0.380952380952381,0.476190476190476,0.404761904761905,0.5,0.333333333333333,0.261904761904762
"HKE",1.14285714285714,0.928571428571429,0,0.857142857142857,0.547619047619047,0.523809523809524,0.80952380952381,0.880952380952381,0.595238095238095
"IndE",0.380952380952381,0.380952380952381,0.857142857142857,0,0.523809523809524,0.452380952380952,0.571428571428571,1.02380952380952,0.119047619047619
"IrE",0.428571428571428,0.476190476190476,0.547619047619047,0.523809523809524,0,0.0238095238095237,0.0476190476190474,0.380952380952381,0.404761904761905
"JamE",0.357142857142857,0.404761904761905,0.523809523809524,0.452380952380952,0.0238095238095237,0,0.095238095238095,0.404761904761905,0.285714285714286
"NZE",0.380952380952381,0.5,0.80952380952381,0.571428571428571,0.0476190476190474,0.095238095238095,0,0.380952380952381,0.547619047619047
"PhlE",0.357142857142857,0.333333333333333,0.880952380952381,1.02380952380952,0.380952380952381,0.404761904761905,0.380952380952381,0,0.761904761904762
"SgE",0.309523809523809,0.261904761904762,0.595238095238095,0.119047619047619,0.404761904761905,0.285714285714286,0.547619047619047,0.761904761904762,0
