"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.095238095238095,0.166666666666667,0.261904761904762,0.119047619047619,0.119047619047619,0.0714285714285713,0.428571428571428,0.309523809523809
"CanE",0.095238095238095,0,0.261904761904762,0.380952380952381,0.357142857142857,0.119047619047619,0.095238095238095,0.666666666666667,0.428571428571428
"HKE",0.166666666666667,0.261904761904762,0,0.119047619047619,0.142857142857143,0.19047619047619,0.357142857142857,0.238095238095238,0.380952380952381
"IndE",0.261904761904762,0.380952380952381,0.119047619047619,0,0.261904761904762,0.166666666666667,0.476190476190476,0.357142857142857,0.666666666666667
"IrE",0.119047619047619,0.357142857142857,0.142857142857143,0.261904761904762,0,0.261904761904762,0.261904761904762,0.19047619047619,0.285714285714286
"JamE",0.119047619047619,0.119047619047619,0.19047619047619,0.166666666666667,0.261904761904762,0,0.238095238095238,0.523809523809524,0.619047619047619
"NZE",0.0714285714285713,0.095238095238095,0.357142857142857,0.476190476190476,0.261904761904762,0.238095238095238,0,0.547619047619047,0.238095238095238
"PhlE",0.428571428571428,0.666666666666667,0.238095238095238,0.357142857142857,0.19047619047619,0.523809523809524,0.547619047619047,0,0.261904761904762
"SgE",0.309523809523809,0.428571428571428,0.380952380952381,0.666666666666667,0.285714285714286,0.619047619047619,0.238095238095238,0.261904761904762,0
