"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.375,0.375,0.5,0.125,0.25,0,0.375,0.25
"CanE",0.375,0,0.25,0.625,0.25,0.125,0.375,0.25,0.125
"HKE",0.375,0.25,0,0.625,0.25,0.125,0.375,0.25,0.125
"IndE",0.5,0.625,0.625,0,0.375,0.5,0.5,0.375,0.5
"IrE",0.125,0.25,0.25,0.375,0,0.125,0.125,0.25,0.125
"JamE",0.25,0.125,0.125,0.5,0.125,0,0.25,0.125,0
"NZE",0,0.375,0.375,0.5,0.125,0.25,0,0.375,0.25
"PhlE",0.375,0.25,0.25,0.375,0.25,0.125,0.375,0,0.125
"SgE",0.25,0.125,0.125,0.5,0.125,0,0.25,0.125,0
