"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"logWeightRatio",0.144225129662252,0.121113412702178,0.135410040671557,0.113417490755685,0.123998897405315,0.132672540436251,0.127199831254698,0.157082517966693,0.0826135901447245
"RecPron",0.0669499450797042,0.0575049513686939,0.0470283307528662,0.062992197605132,0.0495006976997377,0.0718635953242776,0.0323063095754699,0.0584346291277377,0.0803863052871917
"ThemeBinComplexity",0.0228654259058053,0.00834898257445805,0.00598209950331468,0.0110296748325277,0.0299402926639583,0.00843675757287912,0.0193113819332655,0.00745372889503229,0.0173091001627032
"ThemeHeadFreq",0.0107350346095166,0.00535044823973227,0.00332804903057669,0.00656117656629353,0.00425234221894648,0.00221131330304423,0.00761713846728782,0.0057048579987583,0.00955096650280819
"ThemePron",0.00250713965827734,0.00204626903639296,0.00141481881313986,0.00224968039117144,0.000767791160236248,0.00151366771247868,0.00230174302566524,0.00632946905656932,0.00124304108352605
"ThemeDefiniteness",0.0040453047132553,0.000883615290632928,0.00594532232222707,0.00532081556837868,0.00111495893299387,0.00732485411715517,0.00502114670710442,0.00650768805636223,0.00618568687739016
"RecGivenness",0.00542036932463504,0.00613256807957606,0.0081628823007757,0.00764334118331769,0.0164688488755235,0.0167825698152505,0.0251880996439393,0.0111678779685424,0.0128249693495963
"RecHeadFreq",0.0186908019769167,0.0210057238389626,0.020269532651049,0.0381763569173609,0.0129134129421821,0.0160682495825903,0.0140779347889289,0.0153402704519254,0.0270162129309276
