"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.0714285714285713,0.166666666666667,0.0476190476190474,0.0714285714285713,0.214285714285714,0.142857142857143,0.238095238095238,0.0476190476190474
"CanE",0.0714285714285713,0,0.095238095238095,0.0238095238095237,0.095238095238095,0.142857142857143,0.119047619047619,0.119047619047619,0.0238095238095237
"HKE",0.166666666666667,0.095238095238095,0,0.0476190476190474,0.119047619047619,0.0238095238095237,0.095238095238095,0.0238095238095237,0.0476190476190474
"IndE",0.0476190476190474,0.0238095238095237,0.0476190476190474,0,0.0714285714285713,0.095238095238095,0.095238095238095,0.095238095238095,0
"IrE",0.0714285714285713,0.095238095238095,0.119047619047619,0.0714285714285713,0,0.095238095238095,0.0238095238095237,0.166666666666667,0.0714285714285713
"JamE",0.214285714285714,0.142857142857143,0.0238095238095237,0.095238095238095,0.095238095238095,0,0.0476190476190474,0.0476190476190474,0.095238095238095
"NZE",0.142857142857143,0.119047619047619,0.095238095238095,0.095238095238095,0.0238095238095237,0.0476190476190474,0,0.142857142857143,0.095238095238095
"PhlE",0.238095238095238,0.119047619047619,0.0238095238095237,0.095238095238095,0.166666666666667,0.0476190476190474,0.142857142857143,0,0.095238095238095
"SgE",0.0476190476190474,0.0238095238095237,0.0476190476190474,0,0.0714285714285713,0.095238095238095,0.095238095238095,0.095238095238095,0
