"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.278437829201889,0.529954992829433,0.386498751102377,0.257656090962143,0.286573327460482,0.484926466355593,0.722360403873337,0.366874225164595
"CanE",0.278437829201889,0,0.375422769815846,0.307299654200674,0.342919104834303,0.387857494030529,0.340625228373681,0.672417061551103,0.285079917454456
"HKE",0.529954992829433,0.375422769815846,0,0.358726122735973,0.438707907955753,0.556200373035665,0.206218699748125,0.654257550389167,0.312755039767313
"IndE",0.386498751102377,0.307299654200674,0.358726122735973,0,0.406436974834191,0.425670185298138,0.330923516831438,0.586684648095515,0.383989928235567
"IrE",0.257656090962143,0.342919104834303,0.438707907955753,0.406436974834191,0,0.410144558962933,0.387500934307461,0.730083458925768,0.324973960679961
"JamE",0.286573327460482,0.387857494030529,0.556200373035665,0.425670185298138,0.410144558962933,0,0.455611556490146,0.539866545068098,0.540846883068733
"NZE",0.484926466355593,0.340625228373681,0.206218699748125,0.330923516831438,0.387500934307461,0.455611556490146,0,0.507391902208709,0.403250951187135
"PhlE",0.722360403873337,0.672417061551103,0.654257550389167,0.586684648095515,0.730083458925768,0.539866545068098,0.507391902208709,0,0.827279532573599
"SgE",0.366874225164595,0.285079917454456,0.312755039767313,0.383989928235567,0.324973960679961,0.540846883068733,0.403250951187135,0.827279532573599,0
