"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.25,0.375,0.375,0.125,0.125,0.25,0.375,0.125
"CanE",0.25,0,0.125,0.125,0.125,0.125,0,0.375,0.125
"HKE",0.375,0.125,0,0.25,0.25,0.25,0.125,0.5,0.25
"IndE",0.375,0.125,0.25,0,0.25,0.25,0.125,0.25,0.25
"IrE",0.125,0.125,0.25,0.25,0,0.25,0.125,0.5,0
"JamE",0.125,0.125,0.25,0.25,0.25,0,0.125,0.25,0.25
"NZE",0.25,0,0.125,0.125,0.125,0.125,0,0.375,0.125
"PhlE",0.375,0.375,0.5,0.25,0.5,0.25,0.375,0,0.5
"SgE",0.125,0.125,0.25,0.25,0,0.25,0.125,0.5,0
