"","line1","line2","line3","mean"
"BrE",0.75,0.585839739131269,0.875,0.736946579710423
"CanE",0.84375,0.62624261756719,0.913690476190476,0.794561031252555
"HKE",0.734375,0.570969567965341,0.922619047619048,0.74265453852813
"IndE",0.765625,0.601721277333266,0.931972789115646,0.766439688816304
"IrE",0.796875,0.587697126067186,0.910714285714286,0.765095470593824
"JamE",0.796875,0.549653634573159,0.904761904761905,0.750430179778355
"NZE",0.84375,0.610443843062214,0.904761904761905,0.78631858260804
"PhlE",0.609375,0.344957362164338,0.883928571428572,0.61275364453097
"SgE",0.796875,0.56936869523358,0.931972789115646,0.766072161449742
"mean",0.770833333333333,0.560765984788616,0.908824640967498,0.746807986363149
