"","line1","line2","line3","mean"
"BrE",0.84375,0.630232671849787,0.601190476190476,0.691724382680088
"CanE",0.84375,0.725402341330339,0.461309523809524,0.676820621713287
"HKE",0.78125,0.709160949941091,0.351190476190476,0.613867142043856
"IndE",0.796875,0.715977317618461,0.565476190476191,0.692776169364884
"IrE",0.640625,0.648822123234793,0.303571428571429,0.531006183935407
"JamE",0.84375,0.707443057601075,0.601190476190476,0.717461177930517
"NZE",0.84375,0.712073937051934,0.604166666666667,0.7199968679062
"PhlE",0.703125,0.464695322742228,0.511904761904762,0.559908361548997
"SgE",0.828125,0.697749291946132,0.470238095238095,0.665370795728076
"mean",0.791666666666667,0.667950779257315,0.496693121693122,0.652103522539035
