"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.285714285714286,0.571428571428571,0.166666666666667,0.642857142857143,0.428571428571428,0.0476190476190474,0.619047619047619,0.428571428571428
"CanE",0.285714285714286,0,0.857142857142857,0.261904761904762,1.02380952380952,0.357142857142857,0.285714285714286,0.523809523809524,0.714285714285714
"HKE",0.571428571428571,0.857142857142857,0,0.642857142857143,0.452380952380952,0.571428571428571,0.523809523809524,0.619047619047619,0.952380952380952
"IndE",0.166666666666667,0.261904761904762,0.642857142857143,0,0.952380952380952,0.309523809523809,0.119047619047619,0.547619047619047,0.476190476190476
"IrE",0.642857142857143,1.02380952380952,0.452380952380952,0.952380952380952,0,0.642857142857143,0.785714285714286,0.595238095238095,0.476190476190476
"JamE",0.428571428571428,0.357142857142857,0.571428571428571,0.309523809523809,0.642857142857143,0,0.404761904761905,0.119047619047619,0.357142857142857
"NZE",0.0476190476190474,0.285714285714286,0.523809523809524,0.119047619047619,0.785714285714286,0.404761904761905,0,0.523809523809524,0.476190476190476
"PhlE",0.619047619047619,0.523809523809524,0.619047619047619,0.547619047619047,0.595238095238095,0.119047619047619,0.523809523809524,0,0.357142857142857
"SgE",0.428571428571428,0.714285714285714,0.952380952380952,0.476190476190476,0.476190476190476,0.357142857142857,0.476190476190476,0.357142857142857,0
