"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.275337684054791,0.409741362913986,0.366576583052408,0.428494627285668,0.323641554737915,0.166011382008232,0.713651953630669,0.274683477518033
"CanE",0.275337684054791,0,0.194383800108051,0.192984503524954,0.362126322881165,0.185196712976165,0.225135138511169,0.50832512195138,0.253291985349616
"HKE",0.409741362913986,0.194383800108051,0,0.168754755315427,0.277983765242006,0.263698389968879,0.295478836028389,0.45161603253122,0.265055458363314
"IndE",0.366576583052408,0.192984503524954,0.168754755315427,0,0.326409771627463,0.21673848881762,0.24345855463996,0.466189851214322,0.291068950860162
"IrE",0.428494627285668,0.362126322881165,0.277983765242006,0.326409771627463,0,0.323498710864961,0.320895635380251,0.512390634739455,0.25762354610069
"JamE",0.323641554737915,0.185196712976165,0.263698389968879,0.21673848881762,0.323498710864961,0,0.267875799154022,0.440331186210822,0.319474696461016
"NZE",0.166011382008232,0.225135138511169,0.295478836028389,0.24345855463996,0.320895635380251,0.267875799154022,0,0.608839122934347,0.175714034928156
"PhlE",0.713651953630669,0.50832512195138,0.45161603253122,0.466189851214322,0.512390634739455,0.440331186210822,0.608839122934347,0,0.581093514849959
"SgE",0.274683477518033,0.253291985349616,0.265055458363314,0.291068950860162,0.25762354610069,0.319474696461016,0.175714034928156,0.581093514849959,0
