"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"DirObjLettLength",0.0684667606344015,0.103559232505027,0.0784768310428826,0.0704662010668819,0.0411431290990869,0.0996699327766069,0.067943678860189,0.180555718789717,0.0318579795763685
"DirObjDefiniteness",0.00319149299126178,0.00678299498989479,-0.00547932743046447,-0.00462730028534202,0.011224909157692,-0.0111666005800894,0.00566273868061886,-0.00869682091377145,0.000423043700168658
"DirObjGivenness",-0.00149022046528456,-0.00131888904732924,0.00478748519767007,-0.00217098450416707,0.000392922553433833,0.00288267594531617,-0.00283996154909823,-0.000216270457268055,-0.00630523219699529
"DirObjConcreteness",0.0136134748821032,-0.00858789073965775,0.0105915975399693,0.00143172816985664,0.0372975300072463,-0.00485478486535992,0.0125744178101963,-0.00127481416783058,0.0085371399132622
"DirObjThematicity",0.00274931509657773,0.00671113961892699,-0.0095973944844972,0.00299716589278472,-0.00741972546643802,-0.00123113583794154,0.0106454393138128,0.0009971246364909,0.017279854714268
"DirectionalPP",0.0622651667132715,0.0205056014836009,0.00649419159496641,0.0132878588516818,-0.00243277714225745,0.0158064678207663,0.045537201381828,0.00452762440417517,0.00499631838706785
"Semantics",0.0003124908484286,-0.00151295088537165,-0.000939925380778786,-0.00733066930676337,0.0405946952033576,0.00302925895160108,0.00181790001433111,0.0180088290341345,0.0309279333901379
"Surprisal.P",0.0637968070979224,0.0203076107512065,-0.00183814727072106,0.0303338822965513,0.0116641516217742,0.0217828340022521,0.026457598329863,0.002237690721071,0.0448566638480225
