"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.111111111111111,0.111111111111111,0.222222222222222,0.111111111111111,0,0.111111111111111,0.111111111111111,0
"CanE",0.111111111111111,0,0.222222222222222,0.333333333333333,0,0.111111111111111,0.222222222222222,0.222222222222222,0.111111111111111
"HKE",0.111111111111111,0.222222222222222,0,0.111111111111111,0.222222222222222,0.111111111111111,0.222222222222222,0.222222222222222,0.111111111111111
"IndE",0.222222222222222,0.333333333333333,0.111111111111111,0,0.333333333333333,0.222222222222222,0.111111111111111,0.111111111111111,0.222222222222222
"IrE",0.111111111111111,0,0.222222222222222,0.333333333333333,0,0.111111111111111,0.222222222222222,0.222222222222222,0.111111111111111
"JamE",0,0.111111111111111,0.111111111111111,0.222222222222222,0.111111111111111,0,0.111111111111111,0.111111111111111,0
"NZE",0.111111111111111,0.222222222222222,0.222222222222222,0.111111111111111,0.222222222222222,0.111111111111111,0,0,0.111111111111111
"PhlE",0.111111111111111,0.222222222222222,0.222222222222222,0.111111111111111,0.222222222222222,0.111111111111111,0,0,0.111111111111111
"SgE",0,0.111111111111111,0.111111111111111,0.222222222222222,0.111111111111111,0,0.111111111111111,0.111111111111111,0
