"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.0714285714285713,0.166666666666667,0.166666666666667,0.19047619047619,0.309523809523809,0.095238095238095,0.19047619047619,0
"CanE",0.0714285714285713,0,0.095238095238095,0.238095238095238,0.0476190476190474,0.166666666666667,0.0714285714285713,0.142857142857143,0.0714285714285713
"HKE",0.166666666666667,0.095238095238095,0,0.333333333333333,0.095238095238095,0.0714285714285713,0.214285714285714,0.19047619047619,0.166666666666667
"IndE",0.166666666666667,0.238095238095238,0.333333333333333,0,0.238095238095238,0.428571428571428,0.119047619047619,0.142857142857143,0.166666666666667
"IrE",0.19047619047619,0.0476190476190474,0.095238095238095,0.238095238095238,0,0.095238095238095,0.119047619047619,0.119047619047619,0.19047619047619
"JamE",0.309523809523809,0.166666666666667,0.0714285714285713,0.428571428571428,0.095238095238095,0,0.333333333333333,0.309523809523809,0.309523809523809
"NZE",0.095238095238095,0.0714285714285713,0.214285714285714,0.119047619047619,0.119047619047619,0.333333333333333,0,0.142857142857143,0.095238095238095
"PhlE",0.19047619047619,0.142857142857143,0.19047619047619,0.142857142857143,0.119047619047619,0.309523809523809,0.142857142857143,0,0.19047619047619
"SgE",0,0.0714285714285713,0.166666666666667,0.166666666666667,0.19047619047619,0.309523809523809,0.095238095238095,0.19047619047619,0
