"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.284440386546708,0.328491549697491,0.419911976886043,0.318024467187692,0.525637129465836,0.342691451641571,0.409157774647542,0.352540808038491
"CanE",0.284440386546708,0,0.294933580079045,0.411422280375907,0.184827713450921,0.392179574471788,0.273154932588998,0.386723890650317,0.275842985257403
"HKE",0.328491549697491,0.294933580079045,0,0.361277962100199,0.282700145214047,0.316880013625796,0.3541033639655,0.503950119343663,0.330823140667881
"IndE",0.419911976886043,0.411422280375907,0.361277962100199,0,0.294671994758492,0.454722379666456,0.212826673612627,0.485745807224766,0.322002989204529
"IrE",0.318024467187692,0.184827713450921,0.282700145214047,0.294671994758492,0,0.384770074881979,0.183848423404047,0.351427225017633,0.260011342533525
"JamE",0.525637129465836,0.392179574471788,0.316880013625796,0.454722379666456,0.384770074881979,0,0.448295178269276,0.652495804033419,0.333798719896349
"NZE",0.342691451641571,0.273154932588998,0.3541033639655,0.212826673612627,0.183848423404047,0.448295178269276,0,0.340228898560855,0.29459564201561
"PhlE",0.409157774647542,0.386723890650317,0.503950119343663,0.485745807224766,0.351427225017633,0.652495804033419,0.340228898560855,0,0.554079326082834
"SgE",0.352540808038491,0.275842985257403,0.330823140667881,0.322002989204529,0.260011342533525,0.333798719896349,0.29459564201561,0.554079326082834,0
