"","BrE","CanE","IrE","NZE"
"POR_ANIMACY_2",0.102083433983658,0.102659003878497,0.0929310973876677,0.0921533530797109
"POR_LENGTH_WORDS",0.0707972231322915,0.0884873078813973,0.0765576666022063,0.0797082841616771
"PUM_LENGTH_WORDS",0.0245571261750697,0.0425257308276198,0.0637655671675278,0.0575258215142257
"POR_NP_EXPR_TYPE_binary",0.0576846534525612,0.0420405849549818,0.0247908083758467,0.0360056342723435
"POR_FINAL_SIBILANCY",0.0102548671480664,0.0164773048636007,0.0216701048531525,0.0229866861525832
"PREVIOUS_CHOICE",0.0107883500439383,0.00497394898910193,0.00308355826890767,0.00900981786239675
"SEM_REL_2",0.00314373959068987,0.000505063305117929,0.00109563333331231,0.00379676023324809
"POR_HEAD_FREQ",0.0124288976945408,0.00923777638463864,0.0194039807981188,0.0141531700738954
