"","BrE","CanE","IrE","NZE"
"(Intercept)",-2.33922869899444,-2.17373079396211,-2.63848171625615,-1.80236538605864
"POR_ANIMACY_2",3.10780064590169,2.63314565495662,2.41723978799427,2.2477263054945
"POR_LENGTH_WORDS",-5.74406645559853,-5.03089940677213,-4.70684246654745,-4.51449728471123
"PUM_LENGTH_WORDS",1.53823807558809,2.97914396252363,3.02590598257142,2.34522508189608
"POR_NP_EXPR_TYPE_binary",1.13964417496087,1.08529349613507,0.641296200167822,1.43584591820972
"POR_FINAL_SIBILANCY",-1.09807363220272,-1.74541026497004,-1.60197428165986,-1.16212865186114
"PREVIOUS_CHOICEnone",0.0402687349381283,0.173438881170259,0.300931705711149,0.0178180462498992
"PREVIOUS_CHOICEs",0.413176369219242,0.421246037366996,0.298477075352878,0.131608192275723
"SEM_REL_2",-0.414455728709961,0.589874624557588,0.296417152986523,0.812541901737149
"POR_HEAD_FREQ",0.0373623133564586,-0.210079798763044,0.2228610043305,-0.218393891041476
