"","BrE","CanE","IrE","NZE"
"BrE",0,0.095238095238095,0.095238095238095,0.095238095238095
"CanE",0.095238095238095,0,0,0
"IrE",0.095238095238095,0,0,0
"NZE",0.095238095238095,0,0,0
