"","BrE","CanE","IrE","NZE"
"BrE",0,0.111111111111111,0,0.111111111111111
"CanE",0.111111111111111,0,0.111111111111111,0.222222222222222
"IrE",0,0.111111111111111,0,0.111111111111111
"NZE",0.111111111111111,0.222222222222222,0.111111111111111,0
