"","HKE","IndE","JamE","PhlE","SgE"
"HKE",0,0.125,0.375,0.375,0.375
"IndE",0.125,0,0.25,0.25,0.25
"JamE",0.375,0.25,0,0.5,0.25
"PhlE",0.375,0.25,0.5,0,0.25
"SgE",0.375,0.25,0.25,0.25,0
