"","HKE","IndE","JamE","PhlE","SgE"
"HKE",0,0.375,0.25,0.125,0.25
"IndE",0.375,0,0.375,0.5,0.625
"JamE",0.25,0.375,0,0.125,0.25
"PhlE",0.125,0.5,0.125,0,0.125
"SgE",0.25,0.625,0.25,0.125,0
