"","HKE","IndE","JamE","PhlE","SgE"
"HKE",0,0.26380805093808,0.204810380274491,0.214062707739218,0.164798501253897
"IndE",0.26380805093808,0,0.347049111399275,0.254367740495122,0.322277069620769
"JamE",0.204810380274491,0.347049111399275,0,0.222444072913098,0.118756256940724
"PhlE",0.214062707739218,0.254367740495122,0.222444072913098,0,0.222876392108546
"SgE",0.164798501253897,0.322277069620769,0.118756256940724,0.222876392108546,0
