"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.125,0.25,0.25,0.125,0.125,0.375,0.5,0
"CanE",0.125,0,0.375,0.125,0,0.25,0.25,0.625,0.125
"HKE",0.25,0.375,0,0.25,0.375,0.375,0.375,0.25,0.25
"IndE",0.25,0.125,0.25,0,0.125,0.375,0.375,0.5,0.25
"IrE",0.125,0,0.375,0.125,0,0.25,0.25,0.625,0.125
"JamE",0.125,0.25,0.375,0.375,0.25,0,0.5,0.375,0.125
"NZE",0.375,0.25,0.375,0.375,0.25,0.5,0,0.375,0.375
"PhlE",0.5,0.625,0.25,0.5,0.625,0.375,0.375,0,0.5
"SgE",0,0.125,0.25,0.25,0.125,0.125,0.375,0.5,0
