"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.0238095238095237,0.214285714285714,0.0476190476190474,0.0238095238095237,0.19047619047619,0.095238095238095,0.095238095238095,0.0476190476190474
"CanE",0.0238095238095237,0,0.285714285714286,0.0238095238095237,0.0476190476190474,0.261904761904762,0.119047619047619,0.142857142857143,0.095238095238095
"HKE",0.214285714285714,0.285714285714286,0,0.380952380952381,0.19047619047619,0.452380952380952,0.309523809523809,0.404761904761905,0.333333333333333
"IndE",0.0476190476190474,0.0238095238095237,0.380952380952381,0,0.095238095238095,0.19047619047619,0.166666666666667,0.095238095238095,0.0714285714285713
"IrE",0.0238095238095237,0.0476190476190474,0.19047619047619,0.095238095238095,0,0.214285714285714,0.0714285714285713,0.119047619047619,0.095238095238095
"JamE",0.19047619047619,0.261904761904762,0.452380952380952,0.19047619047619,0.214285714285714,0,0.19047619047619,0.0238095238095237,0.0714285714285713
"NZE",0.095238095238095,0.119047619047619,0.309523809523809,0.166666666666667,0.0714285714285713,0.19047619047619,0,0.119047619047619,0.095238095238095
"PhlE",0.095238095238095,0.142857142857143,0.404761904761905,0.095238095238095,0.119047619047619,0.0238095238095237,0.119047619047619,0,0.0238095238095237
"SgE",0.0476190476190474,0.095238095238095,0.333333333333333,0.0714285714285713,0.095238095238095,0.0714285714285713,0.095238095238095,0.0238095238095237,0
