"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.319077838454383,0.255863098451204,0.306726092961452,0.414700581439778,0.295099086361927,0.382408015553701,0.546291010028681,0.302502526764904
"CanE",0.319077838454383,0,0.245180784801363,0.270499049230588,0.275258029920864,0.229669061951477,0.180618961939156,0.369168078167589,0.273901767439274
"HKE",0.255863098451204,0.245180784801363,0,0.196257488088705,0.297462517795574,0.294408504827632,0.275223587373921,0.365515506320856,0.185356163121269
"IndE",0.306726092961452,0.270499049230588,0.196257488088705,0,0.177139234142841,0.368899406771066,0.219783826716935,0.438080671910049,0.133383218557079
"IrE",0.414700581439778,0.275258029920864,0.297462517795574,0.177139234142841,0,0.447091466240576,0.135075128837097,0.475190431442522,0.191606007199624
"JamE",0.295099086361927,0.229669061951477,0.294408504827632,0.368899406771066,0.447091466240576,0,0.368941448485307,0.420598460133013,0.394308584056787
"NZE",0.382408015553701,0.180618961939156,0.275223587373921,0.219783826716935,0.135075128837097,0.368941448485307,0,0.401292426800396,0.20505879227064
"PhlE",0.546291010028681,0.369168078167589,0.365515506320856,0.438080671910049,0.475190431442522,0.420598460133013,0.401292426800396,0,0.411989589985314
"SgE",0.302502526764904,0.273901767439274,0.185356163121269,0.133383218557079,0.191606007199624,0.394308584056787,0.20505879227064,0.411989589985314,0
