"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.19140278645006,0.216149472576537,0.384872169071438,0.147875359104468,0.123466571767963,0.118706981459334,0.308311008544501,0.127263277003612
"CanE",0.19140278645006,0,0.244269205369353,0.425829052060472,0.214785282058443,0.186039193223092,0.171099097554941,0.306281735675488,0.191187487646206
"HKE",0.216149472576537,0.244269205369353,0,0.248153686458731,0.0861293951469694,0.210465990180073,0.278358948579348,0.208912335511489,0.175004287559442
"IndE",0.384872169071438,0.425829052060472,0.248153686458731,0,0.286435279879372,0.34359061115252,0.443620082787771,0.238831497254993,0.319060605550327
"IrE",0.147875359104468,0.214785282058443,0.0861293951469694,0.286435279879372,0,0.174336613614945,0.23173654955151,0.253925920758707,0.153944483178367
"JamE",0.123466571767963,0.186039193223092,0.210465990180073,0.34359061115252,0.174336613614945,0,0.110487516137407,0.229659920595572,0.102329349835455
"NZE",0.118706981459334,0.171099097554941,0.278358948579348,0.443620082787771,0.23173654955151,0.110487516137407,0,0.314365676652077,0.152276204116032
"PhlE",0.308311008544501,0.306281735675488,0.208912335511489,0.238831497254993,0.253925920758707,0.229659920595572,0.314365676652077,0,0.222917245529447
"SgE",0.127263277003612,0.191187487646206,0.175004287559442,0.319060605550327,0.153944483178367,0.102329349835455,0.152276204116032,0.222917245529447,0
