"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0,0.309523809523809,0.547619047619047,0.285714285714286,0.095238095238095,0.095238095238095,0.285714285714286,0.214285714285714
"CanE",0,0,0.309523809523809,0.547619047619047,0.285714285714286,0.095238095238095,0.095238095238095,0.285714285714286,0.214285714285714
"HKE",0.309523809523809,0.309523809523809,0,0.238095238095238,0.0476190476190474,0.261904761904762,0.19047619047619,0.452380952380952,0.309523809523809
"IndE",0.547619047619047,0.547619047619047,0.238095238095238,0,0.166666666666667,0.452380952380952,0.476190476190476,0.571428571428571,0.428571428571428
"IrE",0.285714285714286,0.285714285714286,0.0476190476190474,0.166666666666667,0,0.261904761904762,0.166666666666667,0.333333333333333,0.166666666666667
"JamE",0.095238095238095,0.095238095238095,0.261904761904762,0.452380952380952,0.261904761904762,0,0.0476190476190474,0.404761904761905,0.285714285714286
"NZE",0.095238095238095,0.095238095238095,0.19047619047619,0.476190476190476,0.166666666666667,0.0476190476190474,0,0.309523809523809,0.166666666666667
"PhlE",0.285714285714286,0.285714285714286,0.452380952380952,0.571428571428571,0.333333333333333,0.404761904761905,0.309523809523809,0,0.095238095238095
"SgE",0.214285714285714,0.214285714285714,0.309523809523809,0.428571428571428,0.166666666666667,0.285714285714286,0.166666666666667,0.095238095238095,0
