"","HKE","IndE","JamE","PhlE","SgE"
"HKE",0,0,0.111111111111111,0.222222222222222,0.111111111111111
"IndE",0,0,0.111111111111111,0.222222222222222,0.111111111111111
"JamE",0.111111111111111,0.111111111111111,0,0.111111111111111,0
"PhlE",0.222222222222222,0.222222222222222,0.111111111111111,0,0.111111111111111
"SgE",0.111111111111111,0.111111111111111,0,0.111111111111111,0
