"","HKE","IndE","JamE","PhlE","SgE"
"HKE",0,0.428571428571428,0.309523809523809,0.261904761904762,0.309523809523809
"IndE",0.428571428571428,0,0.309523809523809,0.19047619047619,0.119047619047619
"JamE",0.309523809523809,0.309523809523809,0,0.166666666666667,0.142857142857143
"PhlE",0.261904761904762,0.19047619047619,0.166666666666667,0,0.19047619047619
"SgE",0.309523809523809,0.119047619047619,0.142857142857143,0.19047619047619,0
