"","BrE","CanE","IrE","NZE"
"BrE",0,0.095238095238095,0.142857142857143,0.142857142857143
"CanE",0.095238095238095,0,0.285714285714286,0.095238095238095
"IrE",0.142857142857143,0.285714285714286,0,0.166666666666667
"NZE",0.142857142857143,0.095238095238095,0.166666666666667,0
