"","BrE","CanE","IrE","NZE"
"(Intercept)",-1.59737248104959,-1.62285270296662,-1.75468172911909,-1.75714604183916
"DirObjLettLength",-1.85146172065593,-2.16593347690998,-1.95203060583161,-2.10566830356061
"DirObjDefiniteness",-0.718314388000182,-0.399143752665624,-0.529761240132052,-0.665272261662208
"DirObjGivenness",-0.342503608292164,-0.31272857190589,-0.38702880481608,-0.151791248028182
"DirObjConcreteness",-0.452606918219563,-0.323866454899259,-0.520200604851581,-0.1195642241774
"DirObjThematicity",0.345924823232108,0.524983099147004,0.0903667456168426,0.351823333218588
"DirectionalPP",1.85379551446861,1.77500673642336,1.08087447352295,2.17655003988546
"Semantics",-0.461879470718318,-0.838285371650515,-0.474181884198491,-0.748787201788264
"Surprisal.P",1.47174302156183,0.653588400204148,1.28545977345143,1.34168568590077
