"","line1","line2","line3","mean"
"BrE",0.833333333333333,0.849988553767092,0.896825396825397,0.860049094641941
"CanE",0.833333333333333,0.818497988159051,0.880952380952381,0.844261234148255
"IrE",0.666666666666667,0.806889825670808,0.801587301587302,0.758381264641592
"NZE",0.833333333333333,0.834047811173979,0.896825396825397,0.85473551377757
"mean",0.791666666666667,0.827356044692733,0.869047619047619,0.82935677680234
