"","BrE","CanE","IrE","NZE"
"DirObjLettLength",0.0757421264211518,0.0822403212716625,0.0683164998687498,0.076359012756548
"DirObjDefiniteness",0.0111745916429444,0.00223551456242943,0.00646903276961405,0.0109941090096767
"DirObjGivenness",0.00290243366725359,0.00181349869858932,0.000508940126499191,0.000638452242936601
"DirObjConcreteness",0.0121013936554857,0.00240979053161895,0.015485004161205,0.00448480622189791
"DirObjThematicity",0.0119531385745139,0.0168500333822135,0.00226934638312549,0.00805158026913828
"DirectionalPP",0.0242642754401134,0.0227501952738369,0.0050994236954599,0.0223009632549115
"Semantics",0.0543107757528024,0.0399444511587092,0.0356715355800742,0.0445308893918844
"Surprisal.P",0.0479285142434155,0.0399563022162398,0.0774244541157979,0.0849035918819052
