"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.375,0.25,0.375,0.375,0.375,0.125,0.375,0.125
"CanE",0.375,0,0.625,0.5,0.5,0.25,0.25,0.25,0.25
"HKE",0.25,0.625,0,0.125,0.375,0.375,0.375,0.375,0.375
"IndE",0.375,0.5,0.125,0,0.25,0.25,0.25,0.25,0.25
"IrE",0.375,0.5,0.375,0.25,0,0.25,0.25,0.5,0.25
"JamE",0.375,0.25,0.375,0.25,0.25,0,0.25,0.5,0.25
"NZE",0.125,0.25,0.375,0.25,0.25,0.25,0,0.25,0
"PhlE",0.375,0.25,0.375,0.25,0.5,0.5,0.25,0,0.25
"SgE",0.125,0.25,0.375,0.25,0.25,0.25,0,0.25,0
