"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.5,0.285714285714286,0.285714285714286,0.452380952380952,0.261904761904762,0.214285714285714,0.309523809523809,0.214285714285714
"CanE",0.5,0,0.166666666666667,0.238095238095238,0.214285714285714,0.119047619047619,0.357142857142857,0.119047619047619,0.261904761904762
"HKE",0.285714285714286,0.166666666666667,0,0.142857142857143,0.380952380952381,0.0714285714285713,0.142857142857143,0.309523809523809,0.0238095238095237
"IndE",0.285714285714286,0.238095238095238,0.142857142857143,0,0.19047619047619,0.261904761904762,0.357142857142857,0.261904761904762,0.166666666666667
"IrE",0.452380952380952,0.214285714285714,0.380952380952381,0.19047619047619,0,0.428571428571428,0.666666666666667,0.142857142857143,0.476190476190476
"JamE",0.261904761904762,0.119047619047619,0.0714285714285713,0.261904761904762,0.428571428571428,0,0.119047619047619,0.19047619047619,0.095238095238095
"NZE",0.214285714285714,0.357142857142857,0.142857142857143,0.357142857142857,0.666666666666667,0.119047619047619,0,0.452380952380952,0.0714285714285713
"PhlE",0.309523809523809,0.119047619047619,0.309523809523809,0.261904761904762,0.142857142857143,0.19047619047619,0.452380952380952,0,0.380952380952381
"SgE",0.214285714285714,0.261904761904762,0.0238095238095237,0.166666666666667,0.476190476190476,0.095238095238095,0.0714285714285713,0.380952380952381,0
