"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.248374212217621,0.132862728232897,0.250574827399072,0.338681621722604,0.360520676261882,0.209103897345528,0.304997452081481,0.249222001247261
"CanE",0.248374212217621,0,0.24726804906128,0.268004137812843,0.241945903970083,0.385969384683724,0.152967370056245,0.203301811078863,0.250781082793346
"HKE",0.132862728232897,0.24726804906128,0,0.254189819167239,0.321699488700262,0.368971786430769,0.228329907448974,0.237510602734411,0.255508285784508
"IndE",0.250574827399072,0.268004137812843,0.254189819167239,0,0.230400929156438,0.51096248391144,0.201836314313284,0.341572415829951,0.180428729521209
"IrE",0.338681621722604,0.241945903970083,0.321699488700262,0.230400929156438,0,0.552573871112979,0.165842492245991,0.267447965127877,0.194251344696407
"JamE",0.360520676261882,0.385969384683724,0.368971786430769,0.51096248391144,0.552573871112979,0,0.43102302414133,0.425633245200209,0.538903029403397
"NZE",0.209103897345528,0.152967370056245,0.228329907448974,0.201836314313284,0.165842492245991,0.43102302414133,0,0.243468407511686,0.173767024804441
"PhlE",0.304997452081481,0.203301811078863,0.237510602734411,0.341572415829951,0.267447965127877,0.425633245200209,0.243468407511686,0,0.280647450659124
"SgE",0.249222001247261,0.250781082793346,0.255508285784508,0.180428729521209,0.194251344696407,0.538903029403397,0.173767024804441,0.280647450659124,0
