"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.239258163881156,0.154803337022432,0.602137640567626,0.120715415959735,0.23154391234344,0.189559686127237,0.365501693136328,0.288680535095511
"CanE",0.239258163881156,0,0.244859307147349,0.733289193012012,0.232788623639279,0.269546305359437,0.222064455011329,0.330043878794925,0.221863554458816
"HKE",0.154803337022432,0.244859307147349,0,0.545312543376256,0.140708849558443,0.265027517707344,0.200413183440027,0.307849874066778,0.28987774523731
"IndE",0.602137640567626,0.733289193012012,0.545312543376256,0,0.582632327006031,0.68743462696443,0.663567432673817,0.639054516959203,0.726164824214294
"IrE",0.120715415959735,0.232788623639279,0.140708849558443,0.582632327006031,0,0.260024792223125,0.205566739826249,0.388901554300207,0.342550453470385
"JamE",0.23154391234344,0.269546305359437,0.265027517707344,0.68743462696443,0.260024792223125,0,0.283492670787446,0.278479943369955,0.226511199694473
"NZE",0.189559686127237,0.222064455011329,0.200413183440027,0.663567432673817,0.205566739826249,0.283492670787446,0,0.322968448153998,0.274808630365813
"PhlE",0.365501693136328,0.330043878794925,0.307849874066778,0.639054516959203,0.388901554300207,0.278479943369955,0.322968448153998,0,0.203988985077929
"SgE",0.288680535095511,0.221863554458816,0.28987774523731,0.726164824214294,0.342550453470385,0.226511199694473,0.274808630365813,0.203988985077929,0
