"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.25,0.25,0.375,0.125,0.25,0.25,0.375,0.25
"CanE",0.25,0,0.25,0.625,0.375,0.25,0.25,0.125,0
"HKE",0.25,0.25,0,0.375,0.375,0.25,0.25,0.375,0.25
"IndE",0.375,0.625,0.375,0,0.25,0.375,0.625,0.5,0.625
"IrE",0.125,0.375,0.375,0.25,0,0.125,0.375,0.25,0.375
"JamE",0.25,0.25,0.25,0.375,0.125,0,0.25,0.125,0.25
"NZE",0.25,0.25,0.25,0.625,0.375,0.25,0,0.375,0.25
"PhlE",0.375,0.125,0.375,0.5,0.25,0.125,0.375,0,0.125
"SgE",0.25,0,0.25,0.625,0.375,0.25,0.25,0.125,0
