"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.19047619047619,0.0714285714285713,0.238095238095238,0.119047619047619,0.404761904761905,0.0238095238095237,0.357142857142857,0.404761904761905
"CanE",0.19047619047619,0,0.0714285714285713,0.619047619047619,0.119047619047619,0.357142857142857,0.166666666666667,0.095238095238095,0.214285714285714
"HKE",0.0714285714285713,0.0714285714285713,0,0.452380952380952,0.142857142857143,0.333333333333333,0.0476190476190474,0.261904761904762,0.380952380952381
"IndE",0.238095238095238,0.619047619047619,0.452380952380952,0,0.309523809523809,0.547619047619047,0.261904761904762,0.69047619047619,0.547619047619047
"IrE",0.119047619047619,0.119047619047619,0.142857142857143,0.309523809523809,0,0.476190476190476,0.095238095238095,0.19047619047619,0.19047619047619
"JamE",0.404761904761905,0.357142857142857,0.333333333333333,0.547619047619047,0.476190476190476,0,0.380952380952381,0.285714285714286,0.285714285714286
"NZE",0.0238095238095237,0.166666666666667,0.0476190476190474,0.261904761904762,0.095238095238095,0.380952380952381,0,0.333333333333333,0.380952380952381
"PhlE",0.357142857142857,0.095238095238095,0.261904761904762,0.69047619047619,0.19047619047619,0.285714285714286,0.333333333333333,0,0.0476190476190474
"SgE",0.404761904761905,0.214285714285714,0.380952380952381,0.547619047619047,0.19047619047619,0.285714285714286,0.380952380952381,0.0476190476190474,0
