"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.0714285714285713,0.357142857142857,0.166666666666667,0.095238095238095,0.238095238095238,0.095238095238095,0.142857142857143,0.095238095238095
"CanE",0.0714285714285713,0,0.238095238095238,0.166666666666667,0.0238095238095237,0.214285714285714,0.0238095238095237,0.214285714285714,0.0238095238095237
"HKE",0.357142857142857,0.238095238095238,0,0.357142857142857,0.142857142857143,0.214285714285714,0.142857142857143,0.166666666666667,0.214285714285714
"IndE",0.166666666666667,0.166666666666667,0.357142857142857,0,0.238095238095238,0.571428571428571,0.238095238095238,0.19047619047619,0.119047619047619
"IrE",0.095238095238095,0.0238095238095237,0.142857142857143,0.238095238095238,0,0.119047619047619,0,0.166666666666667,0.0476190476190474
"JamE",0.238095238095238,0.214285714285714,0.214285714285714,0.571428571428571,0.119047619047619,0,0.119047619047619,0.285714285714286,0.285714285714286
"NZE",0.095238095238095,0.0238095238095237,0.142857142857143,0.238095238095238,0,0.119047619047619,0,0.166666666666667,0.0476190476190474
"PhlE",0.142857142857143,0.214285714285714,0.166666666666667,0.19047619047619,0.166666666666667,0.285714285714286,0.166666666666667,0,0.19047619047619
"SgE",0.095238095238095,0.0238095238095237,0.214285714285714,0.119047619047619,0.0476190476190474,0.285714285714286,0.0476190476190474,0.19047619047619,0
