"","BrE","CanE","HKE","IndE","IrE","JamE","NZE","PhlE","SgE"
"BrE",0,0.344949164354538,0.337894757000092,0.338186552129423,0.30084209703063,0.348768392935623,0.28651778477081,0.375684546541035,0.263822467383713
"CanE",0.344949164354538,0,0.284177314144293,0.468178281042262,0.159885559920638,0.230858102141779,0.243725255026811,0.313134578469803,0.252760321125445
"HKE",0.337894757000092,0.284177314144293,0,0.388053155260595,0.222178806538829,0.32532730716249,0.346265085282824,0.380188784368125,0.283301436158838
"IndE",0.338186552129423,0.468178281042262,0.388053155260595,0,0.374323481281502,0.384650280926701,0.291992218583327,0.487030142009445,0.315014916361118
"IrE",0.30084209703063,0.159885559920638,0.222178806538829,0.374323481281502,0,0.183970178630362,0.213657542753345,0.328394902455971,0.201263840213599
"JamE",0.348768392935623,0.230858102141779,0.32532730716249,0.384650280926701,0.183970178630362,0,0.274916764476498,0.413685572350799,0.215823934499887
"NZE",0.28651778477081,0.243725255026811,0.346265085282824,0.291992218583327,0.213657542753345,0.274916764476498,0,0.299265669417799,0.231554845899209
"PhlE",0.375684546541035,0.313134578469803,0.380188784368125,0.487030142009445,0.328394902455971,0.413685572350799,0.299265669417799,0,0.416601765011098
"SgE",0.263822467383713,0.252760321125445,0.283301436158838,0.315014916361118,0.201263840213599,0.215823934499887,0.231554845899209,0.416601765011098,0
